23.3754	30.0849	0.90288
23.3515	30.0913	0.616933
23.3044	30.1052	0.662341
23.287	30.1332	0.658444
23.2233	30.0849	1.19162
23.1093	30.0855	0.736767
23.1354	30.0512	0.937513
23.1309	30.0101	0.661797
23.2447	30.0232	0.69891
23.4052	29.9337	0.613785
23.4047	29.7989	1.20898
23.3428	29.7163	0.95995
23.2161	29.5808	0.774377
23.1895	29.6921	0.846674
23.1484	29.6895	0.855207
23.1713	29.7127	0.622809
23.1501	29.7164	0.721884
23.1895	29.737	0.709951
23.2523	29.834	1.19118
23.0928	29.9438	0.808962
23.0252	29.976	0.819565
22.9439	30.0001	0.930022
22.9563	30.0274	0.687344
22.9475	29.9514	0.800982
22.9818	29.8623	0.543468
22.9659	29.8189	0.520753
23.0302	29.7811	0.592254
23.0536	29.7432	0.833127
23.0584	29.612	0.64097
23.0368	29.6322	0.676727
23.0413	29.6628	0.549808
22.9782	29.7027	0.607186
23.284	29.8965	0.465068
23.1299	29.5235	0.754521
22.9144	29.5495	0.383745
22.8632	29.5691	0.492888
22.9851	29.5859	0.476967
22.9311	29.5851	0.516346
22.9503	29.6448	1.44094
22.9112	29.6486	0.8165
22.8291	29.8863	0.948357
22.8565	29.9739	0.659326
22.8971	30.0896	0.864781
22.8561	30.0905	0.625217
22.8385	30.1345	0.768027
22.7913	30.2361	0.650807
22.8494	30.0355	0.621528
22.6939	30.1539	0.986013
22.6673	30.094	0.494133
22.6694	30.0595	0.580869
22.6387	30.0484	0.925247
22.7278	30.0587	0.671834
22.7444	30.0597	0.722579
22.7371	29.8703	0.595648
22.6639	29.8766	0.463066
22.6434	29.8748	0.927662
22.6354	29.9079	0.83069
22.6788	29.7978	0.600099
22.7436	29.7255	0.569312
22.8099	29.6353	1.06301
22.8125	29.5094	0.538682
22.7909	29.4986	0.56767
22.8757	29.8143	0.578622
22.8079	29.769	0.535577
22.8942	30.124	0.555121
22.8417	30.0998	0.452542
22.6296	29.6367	1.14116
22.6374	29.7601	0.767636
22.5278	29.9365	0.99228
22.5571	29.973	0.765975
22.6004	30.087	1.08534
22.4802	30.0695	1.37044
22.5151	30.0561	0.613643
22.5314	30.0401	0.520713
22.4725	30.121	1.28155
22.4681	30.155	0.800827
22.493	30.1843	1.03646
22.5392	30.2111	0.787397
22.5718	30.2503	0.513448
22.5566	30.273	0.623973
22.5908	30.26	0.60691
22.5486	30.3798	0.758662
22.5592	30.3998	0.781661
22.4721	30.3785	0.764561
22.3329	30.4209	0.887115
22.3537	30.3116	0.620858
22.3343	30.2507	0.574298
22.3273	30.3108	0.549835
22.3443	30.1139	0.515191
22.4015	30.0271	0.807958
22.4181	29.962	0.650211
22.3887	29.9263	0.654402
22.4631	29.9316	0.515034
22.4389	29.8061	0.72907
22.4653	29.7741	0.785489
22.4747	29.8131	0.608048
22.5174	29.7075	0.781185
22.7088	29.4988	0.66643
22.694	29.4798	0.587458
22.4427	29.572	1.47609
22.3651	29.6834	0.753998
22.3493	29.6894	0.783537
22.3415	29.8149	0.853074
22.3843	29.7656	0.814959
22.4302	29.913	0.576194
22.3814	29.8821	0.571922
22.5047	30.5734	0.49445
22.3936	30.7349	0.709001
22.3589	30.7344	0.603576
22.329	30.752	0.568713
22.3206	30.8197	0.685116
22.4084	30.7485	0.509971
22.3902	30.7	0.515363
22.288	30.8066	0.478873
22.1986	30.4732	1.34135
22.1837	30.3496	0.749306
22.0678	30.4433	0.722468
22.0236	30.46	1.06632
22.0403	30.4044	0.678635
22.0371	30.3324	1.03733
22.2087	30.3076	0.638865
22.2769	30.3391	0.813553
22.3035	30.2958	0.922571
22.4823	30.2768	0.615203
22.0795	30.248	0.704101
22.0575	30.2441	0.487535
22.0666	30.1479	0.585789
22.1515	30.1692	1.2814
22.2503	30.1629	1.20855
22.227	30.1424	1.16902
22.3078	30.15	0.635991
22.3055	30.129	0.68788
22.3653	30.1441	0.487905
22.3516	30.1444	0.749159
22.4604	30.2237	0.52985
22.4345	30.2178	0.614966
22.2669	30.0086	0.736491
22.258	29.8339	0.594288
22.3109	29.77	0.906307
22.1513	29.8482	1.22573
22.1239	29.8618	0.629212
22.1694	30.0853	0.621727
22.0901	29.8291	1.54049
22.1331	29.7957	0.591534
22.0976	29.7555	0.536495
22.116	29.9542	0.586958
22.44	29.6914	0.578101
22.3977	29.6134	1.0026
22.4314	29.6087	1.19297
22.5605	29.5221	0.799717
22.3991	29.275	0.487816
22.2503	29.268	1.35517
22.2226	29.2907	0.780934
22.2033	29.1955	0.646895
22.3002	29.2543	0.437928
22.296	29.1572	0.522729
